input_type,criterion,fit_time,eval_time,accuracy
images,entropy,0.004668886626304096,5.507574242388626e-06,0.04099110335079405
features,entropy,0.0006003168581112985,4.913282184278894e-07,0.051134946370666
images,gini,0.0040142859632597665,4.381117325545923e-06,0.046229317369252516
features,gini,0.0002696654919413379,4.993171339827185e-07,0.02619107009229234
images,log_loss,0.004674521482226304,4.225700209045029e-06,0.036002328095119315
features,log_loss,0.0005978720274328404,4.6268309937893647e-07,0.03924503201130789
