input_type,k,fit_time,eval_time,accuracy
images,1,1.7039258891184883e-07,0.0068745844043221985,0.037831545688866715
features,1,4.3585467724417837e-07,0.0011257395399789356,0.029849505279787147
images,2,1.0680198064608785e-07,0.0061224048706800685,0.0381641307059117
features,2,3.329728573894628e-07,0.0025832834233466134,0.027105678889166044
images,3,9.891685722572754e-08,0.0070621406307459925,0.03758210692608298
features,3,5.911714477983496e-07,0.0015678766154981249,0.028519165211607217
images,4,1.2062894778022823e-07,0.00634591656947578,0.0381641307059117
features,4,3.265325932322083e-07,0.0016159678056589571,0.027853995177517254
images,5,1.921942831415809e-07,0.005823230113017348,0.03766525318034423
features,5,3.282518637507102e-07,0.0013894801069655957,0.028768603974390954
images,10,9.366384176528863e-08,0.005244776466555495,0.040824810842271554
features,10,3.296743220950081e-07,0.0015396545125013418,0.02768770266899476
images,15,2.0843494927726623e-07,0.005415300344840006,0.03949447077409163
features,15,3.391275098319174e-07,0.0015599248295681944,0.027022532634904797
images,20,9.398305485830038e-08,0.005320395635945983,0.03882930074000166
features,20,3.294559131366317e-07,0.0015397520446713909,0.02768770266899476
images,30,8.84276269939556e-08,0.005547203604911562,0.04115739585931654
features,30,3.2483012340281234e-07,0.0015185878214777047,0.030431529059615863
images,40,9.744399681411193e-08,0.005085495886703951,0.0418225658934065
features,40,3.650509731222923e-07,0.0016236238431244646,0.029350627754219673
images,50,9.895605883364127e-08,0.005518013039183972,0.044233807266982623
features,50,3.328384518766158e-07,0.0018171085585399669,0.030431529059615863
