input_type,n,fit_time,eval_time,accuracy,test_set
images,1,0.0017062221964200337,4.322826862335205e-06,0.0375,set_2
images,1,0.0018327193955580392,4.279613494873047e-06,0.0375,set_3
images,1,0.001735482116540273,5.797296762466431e-06,0.034375,set_4
images,1,0.001823392262061437,5.498528480529785e-06,0.053125,set_1
features,1,0.00012048259377479553,3.059208393096924e-06,0.05625,set_2
features,1,0.00013175333539644878,2.261251211166382e-06,0.034375,set_3
features,1,0.0001148161788781484,2.1971762180328367e-06,0.025,set_4
features,1,0.0001302806039651235,2.253800630569458e-06,0.03125,set_1
images,2,0.003366882105668386,6.143003702163696e-06,0.05,set_2
images,2,0.0035554133355617523,8.938461542129517e-06,0.04375,set_3
images,2,0.003326117992401123,6.322562694549561e-06,0.053125,set_4
images,2,0.0034970064957936605,6.7785382270812985e-06,0.05625,set_1
features,2,0.0002464746435483297,3.238767385482788e-06,0.0625,set_2
features,2,0.000265229990084966,3.1210482120513914e-06,0.028125,set_3
features,2,0.00023200338085492452,2.9072165489196776e-06,0.025,set_4
features,2,0.0002710846563180288,2.878159284591675e-06,0.040625,set_1
images,3,0.005030723661184311,8.168071508407592e-06,0.053125,set_2
images,3,0.005127490311861038,9.409338235855103e-06,0.0375,set_3
images,3,0.004958316187063853,1.0492652654647827e-05,0.0375,set_4
images,3,0.005212600280841192,8.068233728408814e-06,0.059375,set_1
features,3,0.00036933173735936484,3.902614116668701e-06,0.05,set_2
features,3,0.0003989353775978088,4.098564386367798e-06,0.03125,set_3
features,3,0.000350791464249293,3.7044286727905273e-06,0.034375,set_4
features,3,0.0004046626389026642,3.6209821701049805e-06,0.04375,set_1
images,4,0.006753765791654587,1.201629638671875e-05,0.05,set_2
images,4,0.006821785867214203,1.0254979133605958e-05,0.03125,set_3
images,4,0.006715908398230871,1.7561018466949463e-05,0.05,set_4
images,4,0.0072518890102704365,1.2450665235519409e-05,0.0375,set_1
features,4,0.0004987445970376333,4.412978887557983e-06,0.046875,set_2
features,4,0.000544024258852005,5.172193050384522e-06,0.028125,set_3
features,4,0.0004733125368754069,4.843622446060181e-06,0.025,set_4
features,4,0.0005357677737871806,4.427880048751831e-06,0.04375,set_1
images,5,0.008563880870739619,1.2595951557159423e-05,0.04375,set_2
images,5,0.008496828625599544,1.1876970529556274e-05,0.034375,set_3
images,5,0.008235349009434382,1.2119114398956298e-05,0.040625,set_4
images,5,0.008515403916438421,1.2706220149993897e-05,0.05,set_1
features,5,0.000614898403485616,5.704164505004883e-06,0.05,set_2
features,5,0.0006737962365150451,5.127489566802979e-06,0.034375,set_3
features,5,0.000586905578772227,5.2623450756072995e-06,0.03125,set_4
features,5,0.0006761327385902405,5.289167165756225e-06,0.0375,set_1
images,10,0.01701135312517484,2.1488219499588012e-05,0.03125,set_2
images,10,0.01727281411488851,2.4239718914031983e-05,0.040625,set_3
images,10,0.01629197398821513,2.2666901350021364e-05,0.0375,set_4
images,10,0.017012553413709004,2.390071749687195e-05,0.05,set_1
features,10,0.0012204445898532867,9.420514106750489e-06,0.0375,set_2
features,10,0.0013521460195382437,9.188801050186157e-06,0.0375,set_3
features,10,0.0011649404962857564,9.06139612197876e-06,0.034375,set_4
features,10,0.001344971110423406,9.75877046585083e-06,0.034375,set_1
images,15,0.02583496520916621,3.250613808631897e-05,0.034375,set_2
images,15,0.025199692199627557,3.556236624717713e-05,0.025,set_3
images,15,0.024909540265798568,3.224760293960571e-05,0.034375,set_4
images,15,0.025769959886868796,3.664270043373108e-05,0.0625,set_1
features,15,0.00183087686697642,1.3068318367004395e-05,0.04375,set_2
features,15,0.0019934095442295076,1.272931694984436e-05,0.04375,set_3
features,15,0.0017620439330736795,1.2800842523574828e-05,0.034375,set_4
features,15,0.0020338023702303567,1.3505667448043824e-05,0.0375,set_1
images,20,0.03370143522818883,4.157274961471558e-05,0.028125,set_2
images,20,0.03355568572878838,4.2570382356643675e-05,0.028125,set_3
images,20,0.03261600136756897,4.5095384120941165e-05,0.04375,set_4
images,20,0.033253878851731616,4.237368702888489e-05,0.065625,set_1
features,20,0.0024190165102481844,1.7797946929931642e-05,0.046875,set_2
features,20,0.002624638626972834,1.6672909259796144e-05,0.059375,set_3
features,20,0.0023265480995178223,1.6601383686065672e-05,0.03125,set_4
features,20,0.002699598918358485,1.628845930099487e-05,0.0375,set_1
images,30,0.050250619153181714,6.430372595787049e-05,0.025,set_2
images,30,0.05038742050528526,6.473585963249207e-05,0.040625,set_3
images,30,0.048874102036158246,6.038472056388855e-05,0.05625,set_4
images,30,0.04982925107081731,6.520226597785949e-05,0.05625,set_1
features,30,0.0036164832611878714,2.3813545703887938e-05,0.04375,set_2
features,30,0.0043719897667566935,4.656314849853516e-05,0.053125,set_3
features,30,0.0035480601092179615,2.4656206369400026e-05,0.03125,set_4
features,30,0.0039895405371983845,2.3858994245529176e-05,0.034375,set_1
images,40,0.06613972087701162,8.453726768493652e-05,0.028125,set_2
images,40,0.06719879731535912,8.583590388298035e-05,0.034375,set_3
images,40,0.06315663481752078,8.013546466827393e-05,0.04375,set_4
images,40,0.06498171140750249,8.190423250198364e-05,0.053125,set_1
features,40,0.004809365669886271,3.158003091812134e-05,0.040625,set_2
features,40,0.005165277421474457,3.187283873558044e-05,0.0375,set_3
features,40,0.004600058247645696,3.0916184186935425e-05,0.021875,set_4
features,40,0.005288248757521311,3.17402184009552e-05,0.025,set_1
